Epoch: 1/200 | Train loss: 1.81655 | Test Accuracy: 0.165
Epoch: 2/200 | Train loss: 1.1946 | Test Accuracy: 0.2
Epoch: 3/200 | Train loss: 1.07475 | Test Accuracy: 0.25
Epoch: 4/200 | Train loss: 0.987244 | Test Accuracy: 0.295
Epoch: 5/200 | Train loss: 0.920695 | Test Accuracy: 0.325
Epoch: 6/200 | Train loss: 0.867336 | Test Accuracy: 0.36
Epoch: 7/200 | Train loss: 0.823299 | Test Accuracy: 0.385
Epoch: 8/200 | Train loss: 0.786311 | Test Accuracy: 0.415
Epoch: 9/200 | Train loss: 0.754582 | Test Accuracy: 0.45
Epoch: 10/200 | Train loss: 0.727073 | Test Accuracy: 0.485
Epoch: 11/200 | Train loss: 0.702931 | Test Accuracy: 0.48
Epoch: 12/200 | Train loss: 0.681289 | Test Accuracy: 0.51
Epoch: 13/200 | Train loss: 0.661907 | Test Accuracy: 0.525
Epoch: 14/200 | Train loss: 0.644452 | Test Accuracy: 0.55
Epoch: 15/200 | Train loss: 0.628527 | Test Accuracy: 0.55
Epoch: 16/200 | Train loss: 0.613956 | Test Accuracy: 0.57
Epoch: 17/200 | Train loss: 0.600482 | Test Accuracy: 0.58
Epoch: 18/200 | Train loss: 0.587953 | Test Accuracy: 0.59
Epoch: 19/200 | Train loss: 0.57624 | Test Accuracy: 0.6
Epoch: 20/200 | Train loss: 0.565233 | Test Accuracy: 0.6
Epoch: 21/200 | Train loss: 0.554862 | Test Accuracy: 0.615
Epoch: 22/200 | Train loss: 0.54509 | Test Accuracy: 0.625
Epoch: 23/200 | Train loss: 0.535882 | Test Accuracy: 0.63
Epoch: 24/200 | Train loss: 0.527191 | Test Accuracy: 0.635
Epoch: 25/200 | Train loss: 0.518965 | Test Accuracy: 0.635
Epoch: 26/200 | Train loss: 0.51112 | Test Accuracy: 0.635
Epoch: 27/200 | Train loss: 0.503677 | Test Accuracy: 0.66
Epoch: 28/200 | Train loss: 0.496564 | Test Accuracy: 0.675
Epoch: 29/200 | Train loss: 0.48975 | Test Accuracy: 0.675
Epoch: 30/200 | Train loss: 0.483215 | Test Accuracy: 0.69
Epoch: 31/200 | Train loss: 0.476928 | Test Accuracy: 0.69
Epoch: 32/200 | Train loss: 0.470886 | Test Accuracy: 0.695
Epoch: 33/200 | Train loss: 0.465065 | Test Accuracy: 0.7
Epoch: 34/200 | Train loss: 0.459453 | Test Accuracy: 0.7
Epoch: 35/200 | Train loss: 0.454044 | Test Accuracy: 0.705
Epoch: 36/200 | Train loss: 0.448797 | Test Accuracy: 0.71
Epoch: 37/200 | Train loss: 0.443722 | Test Accuracy: 0.72
Epoch: 38/200 | Train loss: 0.438792 | Test Accuracy: 0.725
Epoch: 39/200 | Train loss: 0.43402 | Test Accuracy: 0.725
Epoch: 40/200 | Train loss: 0.42937 | Test Accuracy: 0.725
Epoch: 41/200 | Train loss: 0.424854 | Test Accuracy: 0.74
Epoch: 42/200 | Train loss: 0.420468 | Test Accuracy: 0.75
Epoch: 43/200 | Train loss: 0.41621 | Test Accuracy: 0.76
Epoch: 44/200 | Train loss: 0.412081 | Test Accuracy: 0.76
Epoch: 45/200 | Train loss: 0.408073 | Test Accuracy: 0.765
Epoch: 46/200 | Train loss: 0.404178 | Test Accuracy: 0.765
Epoch: 47/200 | Train loss: 0.400375 | Test Accuracy: 0.765
Epoch: 48/200 | Train loss: 0.396676 | Test Accuracy: 0.765
Epoch: 49/200 | Train loss: 0.393072 | Test Accuracy: 0.765
Epoch: 50/200 | Train loss: 0.389544 | Test Accuracy: 0.77
Epoch: 51/200 | Train loss: 0.386097 | Test Accuracy: 0.77
Epoch: 52/200 | Train loss: 0.382731 | Test Accuracy: 0.77
Epoch: 53/200 | Train loss: 0.379425 | Test Accuracy: 0.77
Epoch: 54/200 | Train loss: 0.37618 | Test Accuracy: 0.77
Epoch: 55/200 | Train loss: 0.373005 | Test Accuracy: 0.77
Epoch: 56/200 | Train loss: 0.369897 | Test Accuracy: 0.77
Epoch: 57/200 | Train loss: 0.366856 | Test Accuracy: 0.77
Epoch: 58/200 | Train loss: 0.363882 | Test Accuracy: 0.77
Epoch: 59/200 | Train loss: 0.36097 | Test Accuracy: 0.77
Epoch: 60/200 | Train loss: 0.358121 | Test Accuracy: 0.775
Epoch: 61/200 | Train loss: 0.355328 | Test Accuracy: 0.775
Epoch: 62/200 | Train loss: 0.352582 | Test Accuracy: 0.775
Epoch: 63/200 | Train loss: 0.349897 | Test Accuracy: 0.775
Epoch: 64/200 | Train loss: 0.347247 | Test Accuracy: 0.775
Epoch: 65/200 | Train loss: 0.344645 | Test Accuracy: 0.78
Epoch: 66/200 | Train loss: 0.342098 | Test Accuracy: 0.78
Epoch: 67/200 | Train loss: 0.33959 | Test Accuracy: 0.78
Epoch: 68/200 | Train loss: 0.33712 | Test Accuracy: 0.785
Epoch: 69/200 | Train loss: 0.334692 | Test Accuracy: 0.785
Epoch: 70/200 | Train loss: 0.332301 | Test Accuracy: 0.785
Epoch: 71/200 | Train loss: 0.329948 | Test Accuracy: 0.785
Epoch: 72/200 | Train loss: 0.32763 | Test Accuracy: 0.785
Epoch: 73/200 | Train loss: 0.325349 | Test Accuracy: 0.79
Epoch: 74/200 | Train loss: 0.3231 | Test Accuracy: 0.79
Epoch: 75/200 | Train loss: 0.320881 | Test Accuracy: 0.79
Epoch: 76/200 | Train loss: 0.318705 | Test Accuracy: 0.79
Epoch: 77/200 | Train loss: 0.31655 | Test Accuracy: 0.79
Epoch: 78/200 | Train loss: 0.314436 | Test Accuracy: 0.79
Epoch: 79/200 | Train loss: 0.312341 | Test Accuracy: 0.79
Epoch: 80/200 | Train loss: 0.310278 | Test Accuracy: 0.795
Epoch: 81/200 | Train loss: 0.30825 | Test Accuracy: 0.795
Epoch: 82/200 | Train loss: 0.30625 | Test Accuracy: 0.8
Epoch: 83/200 | Train loss: 0.304278 | Test Accuracy: 0.8
Epoch: 84/200 | Train loss: 0.302344 | Test Accuracy: 0.8
Epoch: 85/200 | Train loss: 0.300434 | Test Accuracy: 0.805
Epoch: 86/200 | Train loss: 0.298542 | Test Accuracy: 0.805
Epoch: 87/200 | Train loss: 0.296682 | Test Accuracy: 0.805
Epoch: 88/200 | Train loss: 0.294837 | Test Accuracy: 0.805
Epoch: 89/200 | Train loss: 0.293021 | Test Accuracy: 0.81
