Epoch: 1/200 | Train loss: 3.09989 | Test loss: 2.53101
Epoch: 2/200 | Train loss: 1.94994 | Test loss: 1.62305
Epoch: 3/200 | Train loss: 1.19642 | Test loss: 0.951129
Epoch: 4/200 | Train loss: 0.681032 | Test loss: 0.516507
Epoch: 5/200 | Train loss: 0.384582 | Test loss: 0.294095
Epoch: 6/200 | Train loss: 0.24639 | Test loss: 0.201694
Epoch: 7/200 | Train loss: 0.190247 | Test loss: 0.167144
Epoch: 8/200 | Train loss: 0.167614 | Test loss: 0.153818
Epoch: 9/200 | Train loss: 0.157242 | Test loss: 0.147695
Epoch: 10/200 | Train loss: 0.151334 | Test loss: 0.143986
Epoch: 11/200 | Train loss: 0.14724 | Test loss: 0.141169
Epoch: 12/200 | Train loss: 0.143965 | Test loss: 0.138696
Epoch: 13/200 | Train loss: 0.141122 | Test loss: 0.136366
Epoch: 14/200 | Train loss: 0.138508 | Test loss: 0.134095
Epoch: 15/200 | Train loss: 0.136012 | Test loss: 0.131828
Epoch: 16/200 | Train loss: 0.133523 | Test loss: 0.129541
Epoch: 17/200 | Train loss: 0.131064 | Test loss: 0.127292
Epoch: 18/200 | Train loss: 0.128613 | Test loss: 0.125
Epoch: 19/200 | Train loss: 0.126142 | Test loss: 0.122715
Epoch: 20/200 | Train loss: 0.123684 | Test loss: 0.120487
Epoch: 21/200 | Train loss: 0.121396 | Test loss: 0.118492
Epoch: 22/200 | Train loss: 0.119497 | Test loss: 0.116833
Epoch: 23/200 | Train loss: 0.11792 | Test loss: 0.115306
Epoch: 24/200 | Train loss: 0.116446 | Test loss: 0.113855
Epoch: 25/200 | Train loss: 0.115009 | Test loss: 0.112429
Epoch: 26/200 | Train loss: 0.113574 | Test loss: 0.111026
Epoch: 27/200 | Train loss: 0.112156 | Test loss: 0.109652
Epoch: 28/200 | Train loss: 0.110768 | Test loss: 0.108314
Epoch: 29/200 | Train loss: 0.109418 | Test loss: 0.107006
Epoch: 30/200 | Train loss: 0.108081 | Test loss: 0.105716
Epoch: 31/200 | Train loss: 0.106769 | Test loss: 0.104452
Epoch: 32/200 | Train loss: 0.105393 | Test loss: 0.102984
Epoch: 33/200 | Train loss: 0.103428 | Test loss: 0.101048
Epoch: 34/200 | Train loss: 0.101195 | Test loss: 0.099166
Epoch: 35/200 | Train loss: 0.0991417 | Test loss: 0.09742
Epoch: 36/200 | Train loss: 0.0971185 | Test loss: 0.0952547
Epoch: 37/200 | Train loss: 0.094908 | Test loss: 0.0929296
Epoch: 38/200 | Train loss: 0.0928536 | Test loss: 0.0909583
Epoch: 39/200 | Train loss: 0.0911346 | Test loss: 0.0892942
Epoch: 40/200 | Train loss: 0.0896405 | Test loss: 0.0877925
Epoch: 41/200 | Train loss: 0.0882626 | Test loss: 0.0864034
Epoch: 42/200 | Train loss: 0.0869563 | Test loss: 0.0850789
Epoch: 43/200 | Train loss: 0.0857136 | Test loss: 0.083844
Epoch: 44/200 | Train loss: 0.0845249 | Test loss: 0.0826498
Epoch: 45/200 | Train loss: 0.0833497 | Test loss: 0.0814643
Epoch: 46/200 | Train loss: 0.082176 | Test loss: 0.0802936
Epoch: 47/200 | Train loss: 0.0810178 | Test loss: 0.0791637
Epoch: 48/200 | Train loss: 0.0798783 | Test loss: 0.0780292
Epoch: 49/200 | Train loss: 0.0787377 | Test loss: 0.0768711
Epoch: 50/200 | Train loss: 0.0776058 | Test loss: 0.0757169
Epoch: 51/200 | Train loss: 0.0764701 | Test loss: 0.0745672
Epoch: 52/200 | Train loss: 0.0753365 | Test loss: 0.0734259
Epoch: 53/200 | Train loss: 0.0742177 | Test loss: 0.0722842
Epoch: 54/200 | Train loss: 0.0731123 | Test loss: 0.07116
Epoch: 55/200 | Train loss: 0.0720245 | Test loss: 0.0700557
Epoch: 56/200 | Train loss: 0.0709583 | Test loss: 0.0689678
Epoch: 57/200 | Train loss: 0.069912 | Test loss: 0.0679021
Epoch: 58/200 | Train loss: 0.0688914 | Test loss: 0.0668641
Epoch: 59/200 | Train loss: 0.0679025 | Test loss: 0.0658714
Epoch: 60/200 | Train loss: 0.0669594 | Test loss: 0.0649305
Epoch: 61/200 | Train loss: 0.0660705 | Test loss: 0.06405
Epoch: 62/200 | Train loss: 0.0652395 | Test loss: 0.0632268
Epoch: 63/200 | Train loss: 0.0644641 | Test loss: 0.0624646
Epoch: 64/200 | Train loss: 0.0637474 | Test loss: 0.0617641
Epoch: 65/200 | Train loss: 0.0630784 | Test loss: 0.0611109
Epoch: 66/200 | Train loss: 0.0624438 | Test loss: 0.0604893
Epoch: 67/200 | Train loss: 0.0618343 | Test loss: 0.0599033
Epoch: 68/200 | Train loss: 0.0612499 | Test loss: 0.059338
Epoch: 69/200 | Train loss: 0.060687 | Test loss: 0.0587888
Epoch: 70/200 | Train loss: 0.0601375 | Test loss: 0.0582528
Epoch: 71/200 | Train loss: 0.0595981 | Test loss: 0.0577299
Epoch: 72/200 | Train loss: 0.0590681 | Test loss: 0.0572201
Epoch: 73/200 | Train loss: 0.0585466 | Test loss: 0.0567202
Epoch: 74/200 | Train loss: 0.0580322 | Test loss: 0.056229
Epoch: 75/200 | Train loss: 0.0575247 | Test loss: 0.0557443
Epoch: 76/200 | Train loss: 0.0570222 | Test loss: 0.0552667
Epoch: 77/200 | Train loss: 0.0565239 | Test loss: 0.054795
Epoch: 78/200 | Train loss: 0.0560312 | Test loss: 0.0543286
Epoch: 79/200 | Train loss: 0.055542 | Test loss: 0.0538672
Epoch: 80/200 | Train loss: 0.0550567 | Test loss: 0.0534108
Epoch: 81/200 | Train loss: 0.0545757 | Test loss: 0.052959
Epoch: 82/200 | Train loss: 0.0540979 | Test loss: 0.0525118
Epoch: 83/200 | Train loss: 0.0536237 | Test loss: 0.0520686
Epoch: 84/200 | Train loss: 0.0531536 | Test loss: 0.0516281
Epoch: 85/200 | Train loss: 0.0526882 | Test loss: 0.0511908
Epoch: 86/200 | Train loss: 0.0522266 | Test loss: 0.0507577
Epoch: 87/200 | Train loss: 0.0517686 | Test loss: 0.0503284
Epoch: 88/200 | Train loss: 0.051314 | Test loss: 0.0499028
Epoch: 89/200 | Train loss: 0.0508621 | Test loss: 0.0494795
Epoch: 90/200 | Train loss: 0.0504135 | Test loss: 0.0490596
Epoch: 91/200 | Train loss: 0.0499681 | Test loss: 0.0486429
Epoch: 92/200 | Train loss: 0.0495256 | Test loss: 0.0482283
Epoch: 93/200 | Train loss: 0.0490857 | Test loss: 0.0478159
Epoch: 94/200 | Train loss: 0.0486484 | Test loss: 0.0474059
Epoch: 95/200 | Train loss: 0.0482133 | Test loss: 0.0469985
Epoch: 96/200 | Train loss: 0.0477804 | Test loss: 0.0465949
Epoch: 97/200 | Train loss: 0.0473502 | Test loss: 0.0461937
Epoch: 98/200 | Train loss: 0.0469219 | Test loss: 0.045795
Epoch: 99/200 | Train loss: 0.0464955 | Test loss: 0.045398
Epoch: 100/200 | Train loss: 0.0460716 | Test loss: 0.0450035
Epoch: 101/200 | Train loss: 0.0456503 | Test loss: 0.0446117
Epoch: 102/200 | Train loss: 0.0452315 | Test loss: 0.0442234
Epoch: 103/200 | Train loss: 0.0448162 | Test loss: 0.0438386
Epoch: 104/200 | Train loss: 0.0444054 | Test loss: 0.0434575
Epoch: 105/200 | Train loss: 0.0439995 | Test loss: 0.0430806
