Epoch: 1/200 | Train loss: 1.90109 | Test Accuracy: 0.15
Epoch: 2/200 | Train loss: 1.17724 | Test Accuracy: 0.24
Epoch: 3/200 | Train loss: 1.04686 | Test Accuracy: 0.31
Epoch: 4/200 | Train loss: 0.955695 | Test Accuracy: 0.355
Epoch: 5/200 | Train loss: 0.887966 | Test Accuracy: 0.385
Epoch: 6/200 | Train loss: 0.835186 | Test Accuracy: 0.41
Epoch: 7/200 | Train loss: 0.792649 | Test Accuracy: 0.425
Epoch: 8/200 | Train loss: 0.757171 | Test Accuracy: 0.445
Epoch: 9/200 | Train loss: 0.726888 | Test Accuracy: 0.475
Epoch: 10/200 | Train loss: 0.700717 | Test Accuracy: 0.51
Epoch: 11/200 | Train loss: 0.677588 | Test Accuracy: 0.53
Epoch: 12/200 | Train loss: 0.657026 | Test Accuracy: 0.54
Epoch: 13/200 | Train loss: 0.638651 | Test Accuracy: 0.55
Epoch: 14/200 | Train loss: 0.622058 | Test Accuracy: 0.565
Epoch: 15/200 | Train loss: 0.606925 | Test Accuracy: 0.575
Epoch: 16/200 | Train loss: 0.593019 | Test Accuracy: 0.585
Epoch: 17/200 | Train loss: 0.580097 | Test Accuracy: 0.595
Epoch: 18/200 | Train loss: 0.568143 | Test Accuracy: 0.615
Epoch: 19/200 | Train loss: 0.557058 | Test Accuracy: 0.63
Epoch: 20/200 | Train loss: 0.546653 | Test Accuracy: 0.63
Epoch: 21/200 | Train loss: 0.536888 | Test Accuracy: 0.635
Epoch: 22/200 | Train loss: 0.527702 | Test Accuracy: 0.64
Epoch: 23/200 | Train loss: 0.519025 | Test Accuracy: 0.66
Epoch: 24/200 | Train loss: 0.510791 | Test Accuracy: 0.665
Epoch: 25/200 | Train loss: 0.502966 | Test Accuracy: 0.675
Epoch: 26/200 | Train loss: 0.49553 | Test Accuracy: 0.68
Epoch: 27/200 | Train loss: 0.488438 | Test Accuracy: 0.69
Epoch: 28/200 | Train loss: 0.481659 | Test Accuracy: 0.69
Epoch: 29/200 | Train loss: 0.475154 | Test Accuracy: 0.7
Epoch: 30/200 | Train loss: 0.46891 | Test Accuracy: 0.705
Epoch: 31/200 | Train loss: 0.462892 | Test Accuracy: 0.705
Epoch: 32/200 | Train loss: 0.457113 | Test Accuracy: 0.71
Epoch: 33/200 | Train loss: 0.451549 | Test Accuracy: 0.72
Epoch: 34/200 | Train loss: 0.446199 | Test Accuracy: 0.73
Epoch: 35/200 | Train loss: 0.441023 | Test Accuracy: 0.73
Epoch: 36/200 | Train loss: 0.436041 | Test Accuracy: 0.73
Epoch: 37/200 | Train loss: 0.431219 | Test Accuracy: 0.735
Epoch: 38/200 | Train loss: 0.426556 | Test Accuracy: 0.735
Epoch: 39/200 | Train loss: 0.422042 | Test Accuracy: 0.74
Epoch: 40/200 | Train loss: 0.417639 | Test Accuracy: 0.74
Epoch: 41/200 | Train loss: 0.413331 | Test Accuracy: 0.745
Epoch: 42/200 | Train loss: 0.409133 | Test Accuracy: 0.75
Epoch: 43/200 | Train loss: 0.405036 | Test Accuracy: 0.75
Epoch: 44/200 | Train loss: 0.401066 | Test Accuracy: 0.75
Epoch: 45/200 | Train loss: 0.397211 | Test Accuracy: 0.75
Epoch: 46/200 | Train loss: 0.39345 | Test Accuracy: 0.75
Epoch: 47/200 | Train loss: 0.389793 | Test Accuracy: 0.75
Epoch: 48/200 | Train loss: 0.386227 | Test Accuracy: 0.75
Epoch: 49/200 | Train loss: 0.382746 | Test Accuracy: 0.75
Epoch: 50/200 | Train loss: 0.379355 | Test Accuracy: 0.755
Epoch: 51/200 | Train loss: 0.376046 | Test Accuracy: 0.755
Epoch: 52/200 | Train loss: 0.372818 | Test Accuracy: 0.76
Epoch: 53/200 | Train loss: 0.369662 | Test Accuracy: 0.76
Epoch: 54/200 | Train loss: 0.366569 | Test Accuracy: 0.765
Epoch: 55/200 | Train loss: 0.363539 | Test Accuracy: 0.765
Epoch: 56/200 | Train loss: 0.360583 | Test Accuracy: 0.765
Epoch: 57/200 | Train loss: 0.357692 | Test Accuracy: 0.765
Epoch: 58/200 | Train loss: 0.354861 | Test Accuracy: 0.765
Epoch: 59/200 | Train loss: 0.352085 | Test Accuracy: 0.765
Epoch: 60/200 | Train loss: 0.349374 | Test Accuracy: 0.77
Epoch: 61/200 | Train loss: 0.346697 | Test Accuracy: 0.77
Epoch: 62/200 | Train loss: 0.344077 | Test Accuracy: 0.77
Epoch: 63/200 | Train loss: 0.341503 | Test Accuracy: 0.77
Epoch: 64/200 | Train loss: 0.338978 | Test Accuracy: 0.77
Epoch: 65/200 | Train loss: 0.336496 | Test Accuracy: 0.77
